With T = 10 and H = 10000,,,,,
p,Time_1,Time_2,Time_3,Time_average,S(p)
1,0.007299,0.008926,0.008991,0.338741666666667,1
2,0.004577,0.004586,0.004589,0.669721,1.9592503813467
3,0.003106,0.00322,0.003406,1.00210866666667,2.6397533763946
4,0.00283,0.002559,0.002562,1.33512966666667,3.50936768149883
5,0.00235,0.001908,0.002146,1.668086,4.18965517241379
6,0.001967,0.001873,0.001952,2.00128,4.60604508196721
7,0.001863,0.001796,0.001758,2.334553,5.11433447098976
8,0.001626,0.001609,0.001498,2.667745,6.00200267022697
9,0.001428,0.001493,0.00139,3.00097366666667,6.46834532374101
10,0.001427,0.001395,0.001273,3.334274,7.06284367635507
11,,,,,
12,,,,,
13,,,,,
14,0.00135,0.001311,0.001163,4.66755366666667,7.73086844368014
15,,,,,
16,,,,,
17,,,,,
18,0.001142,0.001369,0.00117,6.000837,7.68461538461538
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
При 100 и 1000,,,,,
1,0.009555,,,,
2,0.005234,,,,
3,0.00368,,,,
4,0.003227,,,,
5,,,,,
6,0.005395,,,,
7,,,,,
8,0.006087,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,0.005885,,,,
